date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:45	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Feb%202019%2006:37:41%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/icon-fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/icon-fonts/fontawesome-webfont3e6e.eot	(from https://internship.suvenconsultants.com/projects/tutorialspoint/css/font-awesome.min.css)
14:52:46	77160/77160	---M--	200	added ('OK')	font/woff2	date:Tue,%2026%20Feb%202019%2006:37:39%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/icon-fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/icon-fonts/fontawesome-webfont3e6e.woff2	(from https://internship.suvenconsultants.com/projects/tutorialspoint/css/font-awesome.min.css)
14:52:48	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Feb%202019%2006:37:41%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/icon-fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/icon-fonts/fontawesome-webfontd41d.eot	(from https://internship.suvenconsultants.com/projects/tutorialspoint/css/font-awesome.min.css)
14:52:48	231/231	---M--	302	error ('Found')	text/html	date:Thu,%2024%20Dec%202020%2009:22:47%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/icon-fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/icon-fonts/fontawesome-webfont3e6e.ttf	(from https://internship.suvenconsultants.com/projects/tutorialspoint/css/font-awesome.min.css)
14:52:48	231/231	---M--	302	error ('Found')	text/html	date:Thu,%2024%20Dec%202020%2009:22:48%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/css/owl.video.play.png	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/css/owl.video.play.png	(from https://internship.suvenconsultants.com/projects/tutorialspoint/css/owl.carousel.css)
14:52:48	231/231	---M--	302	error ('Found')	text/html	date:Thu,%2024%20Dec%202020%2009:22:48%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/css/img_tree.gif	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/css/img_tree.gif	(from https://internship.suvenconsultants.com/projects/tutorialspoint/css/style.css)
14:52:49	231/231	---M--	302	error ('Found')	text/html	date:Thu,%2024%20Dec%202020%2009:22:48%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/css/paper.gif	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/css/paper.gif	(from https://internship.suvenconsultants.com/projects/tutorialspoint/css/style.css)
14:52:49	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/tu%20one/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://internship.suvenconsultants.com/projects/tutorialspoint/index.html)
14:52:49	68460/68460	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Apr%202019%2016:49:14%20GMT	https://st.depositphotos.com/3223379/4561/i/950/depositphotos_45617079-stock-photo-global-computer-network-on-abstract.jpg	C:/My%20Web%20Sites/tu%20one/st.depositphotos.com/3223379/4561/i/950/depositphotos_45617079-stock-photo-global-computer-network-on-abstract.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/index.html)
14:52:50	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2026%20Feb%202019%2006:37:47%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/icon-fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/icon-fonts/fontawesome-webfont3e6e.svg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/css/font-awesome.min.css)
